Algoritmo,Tamanho,Threads,Amostra,TempoMS
MergeSort,10000,1,1,5
QuickSort,10000,1,1,7
CountingSort,10000,1,1,1
BubbleSort,10000,1,1,100
MergeSort,10000,1,2,2
QuickSort,10000,1,2,4
CountingSort,10000,1,2,1
BubbleSort,10000,1,2,90
MergeSort,10000,1,3,1
QuickSort,10000,1,3,1
CountingSort,10000,1,3,0
BubbleSort,10000,1,3,90
MergeSort,10000,1,4,2
QuickSort,10000,1,4,2
CountingSort,10000,1,4,0
BubbleSort,10000,1,4,78
MergeSort,10000,1,5,3
QuickSort,10000,1,5,2
CountingSort,10000,1,5,0
BubbleSort,10000,1,5,85
MergeSort,10000,2,1,3
QuickSort,10000,2,1,4
CountingSort,10000,2,1,0
BubbleSort,10000,2,1,73
MergeSort,10000,2,2,1
QuickSort,10000,2,2,3
CountingSort,10000,2,2,0
BubbleSort,10000,2,2,74
MergeSort,10000,2,3,2
QuickSort,10000,2,3,1
CountingSort,10000,2,3,0
BubbleSort,10000,2,3,66
MergeSort,10000,2,4,2
QuickSort,10000,2,4,1
CountingSort,10000,2,4,0
BubbleSort,10000,2,4,57
MergeSort,10000,2,5,2
QuickSort,10000,2,5,3
CountingSort,10000,2,5,0
BubbleSort,10000,2,5,65
MergeSort,10000,5,1,1
QuickSort,10000,5,1,1
CountingSort,10000,5,1,0
BubbleSort,10000,5,1,55
MergeSort,10000,5,2,1
QuickSort,10000,5,2,1
CountingSort,10000,5,2,1
BubbleSort,10000,5,2,56
MergeSort,10000,5,3,2
QuickSort,10000,5,3,1
CountingSort,10000,5,3,0
BubbleSort,10000,5,3,56
MergeSort,10000,5,4,1
QuickSort,10000,5,4,1
CountingSort,10000,5,4,0
BubbleSort,10000,5,4,69
MergeSort,10000,5,5,2
QuickSort,10000,5,5,2
CountingSort,10000,5,5,1
BubbleSort,10000,5,5,76
MergeSort,10000,10,1,1
QuickSort,10000,10,1,2
CountingSort,10000,10,1,1
BubbleSort,10000,10,1,55
MergeSort,10000,10,2,1
QuickSort,10000,10,2,2
CountingSort,10000,10,2,0
BubbleSort,10000,10,2,58
MergeSort,10000,10,3,2
QuickSort,10000,10,3,1
CountingSort,10000,10,3,0
BubbleSort,10000,10,3,65
MergeSort,10000,10,4,5
QuickSort,10000,10,4,3
CountingSort,10000,10,4,0
BubbleSort,10000,10,4,87
MergeSort,10000,10,5,1
QuickSort,10000,10,5,3
CountingSort,10000,10,5,0
BubbleSort,10000,10,5,59
MergeSort,10000,15,1,2
QuickSort,10000,15,1,2
CountingSort,10000,15,1,0
BubbleSort,10000,15,1,58
MergeSort,10000,15,2,1
QuickSort,10000,15,2,2
CountingSort,10000,15,2,1
BubbleSort,10000,15,2,72
MergeSort,10000,15,3,1
QuickSort,10000,15,3,22
CountingSort,10000,15,3,1
BubbleSort,10000,15,3,70
MergeSort,10000,15,4,2
QuickSort,10000,15,4,4
CountingSort,10000,15,4,1
BubbleSort,10000,15,4,69
MergeSort,10000,15,5,2
QuickSort,10000,15,5,2
CountingSort,10000,15,5,1
BubbleSort,10000,15,5,70
MergeSort,10000,20,1,2
QuickSort,10000,20,1,4
CountingSort,10000,20,1,0
BubbleSort,10000,20,1,68
MergeSort,10000,20,2,2
QuickSort,10000,20,2,3
CountingSort,10000,20,2,1
BubbleSort,10000,20,2,68
MergeSort,10000,20,3,2
QuickSort,10000,20,3,4
CountingSort,10000,20,3,0
BubbleSort,10000,20,3,63
MergeSort,10000,20,4,2
QuickSort,10000,20,4,2
CountingSort,10000,20,4,1
BubbleSort,10000,20,4,58
MergeSort,10000,20,5,2
QuickSort,10000,20,5,2
CountingSort,10000,20,5,0
BubbleSort,10000,20,5,162
MergeSort,50000,1,1,4
QuickSort,50000,1,1,6
CountingSort,50000,1,1,4
BubbleSort,50000,1,1,1826
MergeSort,50000,1,2,4
QuickSort,50000,1,2,4
CountingSort,50000,1,2,1
BubbleSort,50000,1,2,1794
MergeSort,50000,1,3,3
QuickSort,50000,1,3,4
CountingSort,50000,1,3,2
BubbleSort,50000,1,3,1735
MergeSort,50000,1,4,3
QuickSort,50000,1,4,5
CountingSort,50000,1,4,1
BubbleSort,50000,1,4,1881
MergeSort,50000,1,5,3
QuickSort,50000,1,5,4
CountingSort,50000,1,5,1
BubbleSort,50000,1,5,2197
MergeSort,50000,2,1,4
QuickSort,50000,2,1,5
CountingSort,50000,2,1,2
BubbleSort,50000,2,1,1649
MergeSort,50000,2,2,2
QuickSort,50000,2,2,4
CountingSort,50000,2,2,2
BubbleSort,50000,2,2,1680
MergeSort,50000,2,3,2
QuickSort,50000,2,3,3
CountingSort,50000,2,3,2
BubbleSort,50000,2,3,1780
MergeSort,50000,2,4,3
QuickSort,50000,2,4,2
CountingSort,50000,2,4,1
BubbleSort,50000,2,4,1623
MergeSort,50000,2,5,2
QuickSort,50000,2,5,2
CountingSort,50000,2,5,1
BubbleSort,50000,2,5,1849
MergeSort,50000,5,1,3
QuickSort,50000,5,1,3
CountingSort,50000,5,1,1
BubbleSort,50000,5,1,1776
MergeSort,50000,5,2,2
QuickSort,50000,5,2,2
CountingSort,50000,5,2,2
BubbleSort,50000,5,2,1910
MergeSort,50000,5,3,2
QuickSort,50000,5,3,2
CountingSort,50000,5,3,1
BubbleSort,50000,5,3,1691
MergeSort,50000,5,4,2
QuickSort,50000,5,4,2
CountingSort,50000,5,4,2
BubbleSort,50000,5,4,1578
MergeSort,50000,5,5,2
QuickSort,50000,5,5,1
CountingSort,50000,5,5,1
BubbleSort,50000,5,5,1578
MergeSort,50000,10,1,2
QuickSort,50000,10,1,2
CountingSort,50000,10,1,2
BubbleSort,50000,10,1,1640
MergeSort,50000,10,2,4
QuickSort,50000,10,2,2
CountingSort,50000,10,2,0
BubbleSort,50000,10,2,1557
MergeSort,50000,10,3,1
QuickSort,50000,10,3,2
CountingSort,50000,10,3,1
BubbleSort,50000,10,3,1657
MergeSort,50000,10,4,2
QuickSort,50000,10,4,2
CountingSort,50000,10,4,2
BubbleSort,50000,10,4,1570
MergeSort,50000,10,5,2
QuickSort,50000,10,5,2
CountingSort,50000,10,5,1
BubbleSort,50000,10,5,1745
MergeSort,50000,15,1,2
QuickSort,50000,15,1,2
CountingSort,50000,15,1,2
BubbleSort,50000,15,1,1605
MergeSort,50000,15,2,1
QuickSort,50000,15,2,3
CountingSort,50000,15,2,1
BubbleSort,50000,15,2,1616
MergeSort,50000,15,3,2
QuickSort,50000,15,3,2
