Algoritmo,Tamanho,Threads,Amostra,TempoMS
MergeSort,10000,1,1,6
QuickSort,10000,1,1,6
CountingSort,10000,1,1,2
BubbleSort,10000,1,1,61
MergeSort,10000,1,2,3
QuickSort,10000,1,2,2
CountingSort,10000,1,2,1
BubbleSort,10000,1,2,59
MergeSort,10000,1,3,3
QuickSort,10000,1,3,1
CountingSort,10000,1,3,0
BubbleSort,10000,1,3,38
MergeSort,10000,1,4,2
QuickSort,10000,1,4,1
CountingSort,10000,1,4,0
BubbleSort,10000,1,4,56
MergeSort,10000,1,5,2
QuickSort,10000,1,5,0
CountingSort,10000,1,5,0
BubbleSort,10000,1,5,43
MergeSort,10000,2,1,5
QuickSort,10000,2,1,3
CountingSort,10000,2,1,0
BubbleSort,10000,2,1,54
MergeSort,10000,2,2,1
QuickSort,10000,2,2,1
CountingSort,10000,2,2,0
BubbleSort,10000,2,2,53
MergeSort,10000,2,3,1
QuickSort,10000,2,3,1
CountingSort,10000,2,3,0
BubbleSort,10000,2,3,32
MergeSort,10000,2,4,1
QuickSort,10000,2,4,0
CountingSort,10000,2,4,0
BubbleSort,10000,2,4,27
MergeSort,10000,2,5,1
QuickSort,10000,2,5,1
CountingSort,10000,2,5,0
BubbleSort,10000,2,5,30
MergeSort,10000,5,1,1
QuickSort,10000,5,1,0
CountingSort,10000,5,1,0
BubbleSort,10000,5,1,32
MergeSort,10000,5,2,0
QuickSort,10000,5,2,1
CountingSort,10000,5,2,0
BubbleSort,10000,5,2,30
MergeSort,10000,5,3,1
QuickSort,10000,5,3,1
CountingSort,10000,5,3,0
BubbleSort,10000,5,3,28
MergeSort,10000,5,4,1
QuickSort,10000,5,4,1
CountingSort,10000,5,4,0
BubbleSort,10000,5,4,29
MergeSort,10000,5,5,1
QuickSort,10000,5,5,0
CountingSort,10000,5,5,1
BubbleSort,10000,5,5,29
MergeSort,10000,10,1,1
QuickSort,10000,10,1,1
CountingSort,10000,10,1,0
BubbleSort,10000,10,1,29
MergeSort,10000,10,2,1
QuickSort,10000,10,2,1
CountingSort,10000,10,2,0
BubbleSort,10000,10,2,27
MergeSort,10000,10,3,1
QuickSort,10000,10,3,1
CountingSort,10000,10,3,0
BubbleSort,10000,10,3,31
MergeSort,10000,10,4,1
QuickSort,10000,10,4,1
CountingSort,10000,10,4,1
BubbleSort,10000,10,4,26
MergeSort,10000,10,5,1
QuickSort,10000,10,5,2
CountingSort,10000,10,5,0
BubbleSort,10000,10,5,28
MergeSort,10000,15,1,2
QuickSort,10000,15,1,1
CountingSort,10000,15,1,1
BubbleSort,10000,15,1,26
MergeSort,10000,15,2,4
QuickSort,10000,15,2,2
CountingSort,10000,15,2,0
BubbleSort,10000,15,2,27
MergeSort,10000,15,3,2
QuickSort,10000,15,3,2
CountingSort,10000,15,3,0
BubbleSort,10000,15,3,27
MergeSort,10000,15,4,1
QuickSort,10000,15,4,1
CountingSort,10000,15,4,0
BubbleSort,10000,15,4,26
MergeSort,10000,15,5,1
QuickSort,10000,15,5,1
CountingSort,10000,15,5,1
BubbleSort,10000,15,5,26
MergeSort,10000,20,1,1
QuickSort,10000,20,1,1
CountingSort,10000,20,1,0
BubbleSort,10000,20,1,26
MergeSort,10000,20,2,1
QuickSort,10000,20,2,2
CountingSort,10000,20,2,0
BubbleSort,10000,20,2,28
MergeSort,10000,20,3,1
QuickSort,10000,20,3,2
CountingSort,10000,20,3,0
BubbleSort,10000,20,3,27
MergeSort,10000,20,4,1
QuickSort,10000,20,4,1
CountingSort,10000,20,4,0
BubbleSort,10000,20,4,27
MergeSort,10000,20,5,1
QuickSort,10000,20,5,1
CountingSort,10000,20,5,0
BubbleSort,10000,20,5,26
MergeSort,50000,1,1,3
QuickSort,50000,1,1,3
CountingSort,50000,1,1,1
BubbleSort,50000,1,1,1077
MergeSort,50000,1,2,2
QuickSort,50000,1,2,3
CountingSort,50000,1,2,1
BubbleSort,50000,1,2,1079
MergeSort,50000,1,3,3
QuickSort,50000,1,3,3
CountingSort,50000,1,3,1
BubbleSort,50000,1,3,1084
MergeSort,50000,1,4,2
QuickSort,50000,1,4,3
CountingSort,50000,1,4,1
BubbleSort,50000,1,4,1077
MergeSort,50000,1,5,3
QuickSort,50000,1,5,3
CountingSort,50000,1,5,1
BubbleSort,50000,1,5,1074
MergeSort,50000,2,1,2
QuickSort,50000,2,1,2
CountingSort,50000,2,1,1
BubbleSort,50000,2,1,1078
MergeSort,50000,2,2,2
QuickSort,50000,2,2,2
CountingSort,50000,2,2,1
BubbleSort,50000,2,2,1079
MergeSort,50000,2,3,2
QuickSort,50000,2,3,2
CountingSort,50000,2,3,1
BubbleSort,50000,2,3,1076
MergeSort,50000,2,4,1
QuickSort,50000,2,4,1
CountingSort,50000,2,4,1
BubbleSort,50000,2,4,1088
MergeSort,50000,2,5,2
QuickSort,50000,2,5,2
CountingSort,50000,2,5,1
BubbleSort,50000,2,5,1086
MergeSort,50000,5,1,1
QuickSort,50000,5,1,1
CountingSort,50000,5,1,1
BubbleSort,50000,5,1,1093
MergeSort,50000,5,2,1
QuickSort,50000,5,2,1
CountingSort,50000,5,2,1
BubbleSort,50000,5,2,1088
MergeSort,50000,5,3,1
QuickSort,50000,5,3,2
CountingSort,50000,5,3,1
BubbleSort,50000,5,3,1097
MergeSort,50000,5,4,1
QuickSort,50000,5,4,0
CountingSort,50000,5,4,0
BubbleSort,50000,5,4,1163
MergeSort,50000,5,5,1
QuickSort,50000,5,5,2
CountingSort,50000,5,5,1
BubbleSort,50000,5,5,1099
MergeSort,50000,10,1,10
QuickSort,50000,10,1,2
CountingSort,50000,10,1,1
BubbleSort,50000,10,1,1098
MergeSort,50000,10,2,2
QuickSort,50000,10,2,2
CountingSort,50000,10,2,1
BubbleSort,50000,10,2,1096
MergeSort,50000,10,3,0
QuickSort,50000,10,3,0
CountingSort,50000,10,3,0
BubbleSort,50000,10,3,1132
MergeSort,50000,10,4,0
QuickSort,50000,10,4,0
CountingSort,50000,10,4,5
BubbleSort,50000,10,4,1087
MergeSort,50000,10,5,0
QuickSort,50000,10,5,0
CountingSort,50000,10,5,0
BubbleSort,50000,10,5,1090
MergeSort,50000,15,1,16
QuickSort,50000,15,1,2
CountingSort,50000,15,1,1
BubbleSort,50000,15,1,1092
MergeSort,50000,15,2,2
QuickSort,50000,15,2,1
CountingSort,50000,15,2,1
BubbleSort,50000,15,2,1094
MergeSort,50000,15,3,0
QuickSort,50000,15,3,15
CountingSort,50000,15,3,0
BubbleSort,50000,15,3,1102
MergeSort,50000,15,4,2
QuickSort,50000,15,4,2
CountingSort,50000,15,4,0
BubbleSort,50000,15,4,1143
MergeSort,50000,15,5,2
QuickSort,50000,15,5,2
CountingSort,50000,15,5,1
BubbleSort,50000,15,5,1078
MergeSort,50000,20,1,2
QuickSort,50000,20,1,2
CountingSort,50000,20,1,1
BubbleSort,50000,20,1,1083
MergeSort,50000,20,2,2
QuickSort,50000,20,2,1
CountingSort,50000,20,2,1
BubbleSort,50000,20,2,1082
MergeSort,50000,20,3,2
QuickSort,50000,20,3,2
CountingSort,50000,20,3,1
BubbleSort,50000,20,3,1094
MergeSort,50000,20,4,2
QuickSort,50000,20,4,2
CountingSort,50000,20,4,1
BubbleSort,50000,20,4,1099
MergeSort,50000,20,5,6
QuickSort,50000,20,5,3
CountingSort,50000,20,5,0
BubbleSort,50000,20,5,1130
MergeSort,100000,1,1,5
QuickSort,100000,1,1,7
CountingSort,100000,1,1,2
MergeSort,100000,1,2,5
QuickSort,100000,1,2,6
CountingSort,100000,1,2,2
MergeSort,100000,1,3,7
QuickSort,100000,1,3,5
CountingSort,100000,1,3,1
MergeSort,100000,1,4,5
QuickSort,100000,1,4,6
CountingSort,100000,1,4,2
MergeSort,100000,1,5,6
QuickSort,100000,1,5,5
CountingSort,100000,1,5,1
MergeSort,100000,2,1,4
QuickSort,100000,2,1,4
CountingSort,100000,2,1,2
MergeSort,100000,2,2,3
QuickSort,100000,2,2,4
CountingSort,100000,2,2,2
MergeSort,100000,2,3,3
QuickSort,100000,2,3,4
CountingSort,100000,2,3,2
MergeSort,100000,2,4,3
QuickSort,100000,2,4,5
CountingSort,100000,2,4,1
MergeSort,100000,2,5,4
QuickSort,100000,2,5,4
CountingSort,100000,2,5,2
MergeSort,100000,5,1,3
QuickSort,100000,5,1,2
CountingSort,100000,5,1,3
MergeSort,100000,5,2,2
QuickSort,100000,5,2,2
CountingSort,100000,5,2,2
MergeSort,100000,5,3,3
QuickSort,100000,5,3,2
CountingSort,100000,5,3,3
MergeSort,100000,5,4,2
QuickSort,100000,5,4,3
CountingSort,100000,5,4,2
MergeSort,100000,5,5,3
QuickSort,100000,5,5,2
CountingSort,100000,5,5,2
MergeSort,100000,10,1,3
QuickSort,100000,10,1,2
CountingSort,100000,10,1,2
MergeSort,100000,10,2,3
QuickSort,100000,10,2,1
CountingSort,100000,10,2,1
MergeSort,100000,10,3,2
QuickSort,100000,10,3,2
CountingSort,100000,10,3,2
MergeSort,100000,10,4,13
QuickSort,100000,10,4,3
CountingSort,100000,10,4,2
MergeSort,100000,10,5,3
QuickSort,100000,10,5,2
CountingSort,100000,10,5,2
MergeSort,100000,15,1,3
QuickSort,100000,15,1,2
CountingSort,100000,15,1,2
MergeSort,100000,15,2,6
QuickSort,100000,15,2,2
CountingSort,100000,15,2,2
MergeSort,100000,15,3,3
QuickSort,100000,15,3,3
CountingSort,100000,15,3,2
MergeSort,100000,15,4,3
QuickSort,100000,15,4,2
CountingSort,100000,15,4,2
